user_id,Submit_Date,positive_affect_score,negative_affect_score
621e331067b776a24085dd3f,2021-11-23,32,33
621e331067b776a24085dd3f,2021-12-29,28,19
621e331067b776a24085dd3f,2022-01-04,30,20
621e332267b776a24092a584,2021-06-02,28,19
621e333567b776a240a0c217,2021-11-23,34,25
621e333967b776a240a3cd06,2021-11-27,37,19
621e335a67b776a240bb12ff,2021-07-05,20,15
621e335a67b776a240bb12ff,2021-07-20,19,15
621e335a67b776a240bb12ff,2021-06-07,18,13
621e335a67b776a240bb12ff,2021-07-05,21,13
621e335a67b776a240bb12ff,2021-05-31,29,17
621e335a67b776a240bb12ff,2021-06-22,20,14
621e335a67b776a240bb12ff,2021-07-12,20,15
621e335a67b776a240bb12ff,2021-07-29,13,12
621e337667b776a240ce78ab,2021-07-20,27,29
621e337667b776a240ce78ab,2021-06-07,27,35
621e339967b776a240e502de,2021-11-22,45,15
621e339967b776a240e502de,2021-11-29,42,12
621e339967b776a240e502de,2021-12-14,39,12
621e339967b776a240e502de,2021-12-20,44,13
621e339967b776a240e502de,2021-12-27,45,11
621e339967b776a240e502de,2022-01-03,44,11
621e339967b776a240e502de,2022-01-12,45,13
621e339967b776a240e502de,2021-12-06,41,12
621e33b067b776a240f39e56,2021-06-14,39,33
621e33b067b776a240f39e56,2021-07-26,35,14
621e33b067b776a240f39e56,2021-07-12,50,20
621e33b067b776a240f39e56,2021-07-12,47,16
621e33b067b776a240f39e56,2021-07-19,48,10
621e33b067b776a240f39e56,2021-06-21,42,19
621e33b067b776a240f39e56,2021-06-28,42,27
621e33cf67b776a240087de9,2021-11-24,32,12
621e33cf67b776a240087de9,2021-11-30,35,14
621e33cf67b776a240087de9,2021-12-06,29,13
621e33cf67b776a240087de9,2022-01-10,22,20
621e33cf67b776a240087de9,2021-12-24,30,19
621e33cf67b776a240087de9,2022-01-06,15,20
621e33ed67b776a2401cf5f7,2021-06-21,28,15
621e33ed67b776a2401cf5f7,2021-06-28,27,17
621e33ed67b776a2401cf5f7,2021-07-12,35,16
621e33ed67b776a2401cf5f7,2021-06-03,29,14
621e341067b776a24037b105,2021-07-12,29,17
621e341067b776a24037b105,2021-05-31,12,15
621e341067b776a24037b105,2021-06-10,23,14
621e341067b776a24037b105,2021-06-28,29,17
621e341067b776a24037b105,2021-07-05,32,18
621e341067b776a24037b105,2021-07-20,26,15
621e341067b776a24037b105,2021-07-28,24,32
621e341067b776a24037b105,2021-06-22,26,28
621e346f67b776a24081744f,2022-01-12,25,13
621e346f67b776a24081744f,2021-11-24,32,23
621e346f67b776a24081744f,2021-12-14,23,34
621e346f67b776a24081744f,2021-12-23,29,19
621e34db67b776a240c9c2be,2021-05-31,42,18
621e34db67b776a240c9c2be,2021-06-09,36,26
621e34db67b776a240c9c2be,2021-07-05,39,29
621e34db67b776a240c9c2be,2021-07-19,37,26
621e34db67b776a240c9c2be,2021-06-22,37,27
621e34ec67b776a240d60873,2021-06-02,24,25
621e34f767b776a240de4e1a,2021-07-26,33,12
621e34f767b776a240de4e1a,2021-06-07,34,13
621e34f767b776a240de4e1a,2021-07-26,37,11
621e34f767b776a240de4e1a,2021-07-26,34,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,12
621e34f767b776a240de4e1a,2021-06-07,36,12
621e34f767b776a240de4e1a,2021-06-20,29,10
621e34f767b776a240de4e1a,2021-06-30,28,10
621e34f767b776a240de4e1a,2021-07-26,35,11
621e351a67b776a240f6204b,2021-06-14,31,18
621e351a67b776a240f6204b,2021-07-26,37,10
621e351a67b776a240f6204b,2021-08-02,35,11
621e356967b776a24027bd9f,2022-01-03,26,15
621e356967b776a24027bd9f,2021-11-24,48,12
621e356967b776a24027bd9f,2021-12-10,44,19
621e356967b776a24027bd9f,2022-01-10,41,12
621e360b67b776a24039709f,2021-07-12,45,21
621e360b67b776a24039709f,2021-07-26,31,29
621e360b67b776a24039709f,2021-08-05,43,22
621e360b67b776a24039709f,2021-06-07,42,24
621e360b67b776a24039709f,2021-07-04,40,28
621e362467b776a2404ad513,2021-06-27,31,13
621e362467b776a2404ad513,2021-07-04,30,13
621e362467b776a2404ad513,2021-07-11,29,13
621e362467b776a2404ad513,2021-08-01,33,14
621e366567b776a24076a727,2021-11-22,30,23
621e366567b776a24076a727,2021-12-06,23,24
621e366567b776a24076a727,2021-12-13,17,27
621e366567b776a24076a727,2022-01-04,18,27
621e366567b776a24076a727,2022-01-10,16,27
621e366567b776a24076a727,2021-12-20,26,22
621e367e67b776a24087d75d,2021-11-29,25,27
621e367e67b776a24087d75d,2021-12-14,30,18
621e367e67b776a24087d75d,2021-12-23,28,21
621e367e67b776a24087d75d,2022-01-07,30,22
621e367e67b776a24087d75d,2021-11-24,33,23
621e367e67b776a24087d75d,2022-01-17,27,21
621e36c267b776a240ba2756,2021-05-31,44,16
621e36c267b776a240ba2756,2021-06-23,38,13
621e36c267b776a240ba2756,2021-06-30,32,21
621e36c267b776a240ba2756,2021-07-06,38,18
621e36f967b776a240e5e7c9,2021-07-12,34,18
621e36f967b776a240e5e7c9,2021-07-20,40,17
621e36f967b776a240e5e7c9,2021-07-26,24,27
621e36f967b776a240e5e7c9,2021-05-31,32,27
621e36f967b776a240e5e7c9,2021-06-07,27,37
621e36f967b776a240e5e7c9,2021-06-21,17,27
621e36f967b776a240e5e7c9,2021-06-28,28,24
621e36f967b776a240e5e7c9,2021-07-05,36,17
621e375367b776a24021e950,2021-12-20,31,29
621e375367b776a24021e950,2022-01-02,30,33
621e375b67b776a240290cdc,2021-06-01,27,29
621e375b67b776a240290cdc,2021-06-08,30,30
621e375b67b776a240290cdc,2021-06-22,30,30
621e375b67b776a240290cdc,2021-07-06,30,29
